team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Colorado Rockies,5.6,5.1,4.0,0.0,5.0,3.58,3.6,3.4,0.0,3.5,5.6,5.02,3.4,5.7,3.7,3.6,0.0,3.35,3.58,3.55,3.75,5.1,3.49,0.0,0.0,5.0,3.61,5.0,0.0,5.25,3.7,5.6,0.0,5.6,5.25,5.6,3.6,3.4,3.3,caff39b6a6373fa1a0c3db1a051b1a20,2023-04-23 09:15:00,Philadelphia Phillies,Colorado Rockies,0,Sun,NL,23.0,NL,23.0,N,PHI13,Philadelphia Phillies,9.0,2023-04-23 09:14:00,9,0,0,Philadelphia Phillies,NL,NL,23.0,23.0,5.7,4.37060606060606,30.41669555570965,-100.0,2023-04-23,-300.0,-116.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Oakland Athletics,7.5,6.0,6.1,3.9,5.91,4.0,4.05,4.0,6.5,5.9,3.91,4.4,3.7,5.0,7.0,4.01,4.01,6.0,3.7,6.0,7.0,6.5,6.1,6.5,5.8,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f8e130e8b0f4f3ef36b07d0ba910832c,2023-04-23 11:50:00,Texas Rangers,Oakland Athletics,0,Sun,AL,22.0,AL,21.0,D,ARL03,Texas Rangers,15.0,2023-04-23 11:50:00,11,0,0,Texas Rangers,AL,AL,22.0,21.0,7.0,5.463928571428572,28.112948558729315,-100.0,2023-04-23,-300.0,-216.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Los Angeles Dodgers,8.5,6.75,6.5,6.5,7.0,5.13,5.5,6.0,7.0,8.5,8.5,8.5,6.4,7.5,6.75,8.0,8.5,1.01,6.0,6.49,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705668f00556dd19407df97765b4923,2023-04-25 17:30:00,Pittsburgh Pirates,Los Angeles Dodgers,0,Tue,NL,24.0,NL,24.0,N,PIT08,Los Angeles Dodgers,114.0,2023-04-25 17:30:00,15,1,0,Pittsburgh Pirates,NL,NL,24.0,24.0,7.5,6.769545454545456,10.79030416974416,650.0,2023-04-25,650.0,434.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Los Angeles Dodgers,1.85,2.05,1.54,0.0,1.83,0.0,0.0,0.0,0.0,0.0,1.85,1.77,0.0,1.95,1.69,1.55,0.0,0.0,0.0,0.0,0.0,1.81,1.8,1.83,0.0,1.6,1.9,1.0,0.0,1.83,0.0,1.85,0.0,1.85,1.83,1.85,0.0,0.0,0.0,50a6f4fd186a7813f17f2c74a622477a,2023-04-26 16:45:00,Pittsburgh Pirates,Los Angeles Dodgers,0,Wed,NL,25.0,NL,25.0,N,PIT08,Pittsburgh Pirates,70.0,2023-04-26 16:45:00,15,0,0,Pittsburgh Pirates,NL,NL,25.0,25.0,1.95,1.7704761904761903,10.139860139860126,-100.0,2023-04-26,-100.0,334.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Baltimore Orioles,5.2,4.65,5.2,0.0,4.75,0.0,0.0,0.0,0.0,4.25,5.1,5.29,0.0,5.7,4.5,4.33,0.0,0.0,0.0,0.0,4.9,4.75,4.6,4.45,0.0,5.0,6.1,1.0,0.0,4.9,0.0,5.1,0.0,5.1,4.8,5.1,0.0,0.0,0.0,c2e6e3e8f9d832650df372289a3545e4,2023-04-27 16:55:00,Detroit Tigers,Baltimore Orioles,0,Thu,AL,25.0,AL,25.0,N,DET05,Baltimore Orioles,75.0,2023-04-27 16:55:00,15,1,0,Detroit Tigers,AL,AL,25.0,25.0,5.7,4.803043478260869,18.67475332669504,470.0,2023-04-27,470.0,804.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
New York Yankees,2.75,2.8,2.8,2.88,2.7,3.12,2.75,2.95,3.05,2.95,3.15,2.95,2.8,3.05,3.15,3.05,2.7,2.86,1.0,2.75,2.88,2.7,2.74,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3c453a0285e73415c903b57122aecfb6,2023-04-28 17:25:00,Texas Rangers,New York Yankees,0,Fri,AL,27.0,AL,26.0,N,ARL03,Texas Rangers,20.0,2023-04-28 17:25:00,17,0,0,Texas Rangers,AL,AL,27.0,26.0,3.15,2.8240000000000003,11.543909348441916,-100.0,2023-04-28,-100.0,704.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
Miami Marlins,2.23,2.35,1.99,0.0,2.2,0.0,0.0,0.0,0.0,2.25,2.23,2.17,0.0,2.5,2.24,2.0,0.0,0.0,0.0,0.0,0.0,2.18,2.2,2.4,0.0,2.25,2.17,2.2,0.0,2.2,0.0,2.23,0.0,2.23,2.2,2.23,1.8,0.0,0.0,5ea302730b4606e0aaf928fd12c651e3,2023-05-02 16:15:00,Miami Marlins,Atlanta Braves,0,Tue,NL,31.0,NL,30.0,N,MIA02,Atlanta Braves,35.0,2023-05-02 16:15:00,15,0,1,Atlanta Braves,NL,NL,30.0,31.0,2.5,2.215217391304348,12.855740922473018,-100.0,2023-05-02,-100.0,604.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Chicago White Sox,9.0,8.5,5.6,5.5,4.9,5.0,6.9,3.4,4.33,7.0,7.5,7.0,7.0,7.5,7.0,6.75,7.0,3.2,5.7,3.08,2.82,6.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7431664628d309f141324011111cb888,2023-05-05 16:45:00,Cincinnati Reds,Chicago White Sox,0,Fri,AL,33.0,NL,33.0,N,LOS03,Chicago White Sox,65.0,2023-05-05 16:45:00,15,1,0,Cincinnati Reds,AL,NL,33.0,33.0,7.5,6.10125,22.92562999385372,650.0,2023-05-05,450.0,1254.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Los Angeles Dodgers,5.4,6.0,6.0,5.75,5.2,5.2,5.0,6.25,6.4,7.0,6.75,7.0,6.25,7.0,6.4,1.3,2.13,2.2,5.25,4.33,1.85,2.1,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a227932a34bc53cd7b81fd5a1bf1f5b9,2023-05-05 20:00:00,San Diego Padres,Los Angeles Dodgers,0,Fri,NL,33.0,NL,33.0,N,SAN02,San Diego Padres,80.0,2023-05-05 20:00:00,18,0,0,San Diego Padres,NL,NL,33.0,33.0,7.0,5.125416666666665,36.57426225510126,-100.0,2023-05-05,450.0,1154.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Draftkings']
Philadelphia Phillies,5.7,5.5,5.8,5.5,7.3,7.0,5.85,7.0,6.5,7.0,6.5,7.0,7.0,6.5,7.0,5.0,3.95,5.5,6.0,7.19,4.2,7.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e431e4cf9fe0f2af366732a7a9bca2eb,2023-05-05 18:30:00,Philadelphia Phillies,Boston Red Sox,0,Fri,AL,34.0,NL,33.0,N,PHI13,Boston Red Sox,145.0,2023-05-05 18:30:00,16,0,1,Boston Red Sox,NL,AL,33.0,34.0,7.0,6.197500000000001,12.94876966518757,-100.0,2023-05-05,450.0,1054.0,1580.0,17.752808988764045,0.30337078651685395,720.0,-300.0,89.0,17.8,['Fanduel']
