team,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betus_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,ladbrokes_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,game_id,time_pulled,home_team,away_team,number_of_game_today,day_of_week,away_team_league,away_team_game_number,home_team_league,home_team_game_number,day_night,park_id,winning_team,minutes_since_commence,snapshot_time_taken,hour_of_start,target,home_away,opponent,this_team_league,opponent_league,this_team_game_of_season,opponent_game_of_season,highest_bettable_odds,average_market_odds,ev,result,date,daily_result,cumulative_result,total_p_l,total_ev_per_bet,total_precision,best_day_prof,worst_day_prof,total_bets_placed,return_on_money,sportsbook(s)_used
Milwaukee Brewers,1.42,1.35,1.36,1.37,1.38,1.46,1.36,1.36,1.35,1.36,1.36,1.36,1.36,1.36,1.71,1.3,1.7,1.4,1.42,1.44,1.36,1.46,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688745f6c5edeebf7fadda95570fe342,2023-04-28 18:00:00,Milwaukee Brewers,Los Angeles Angels,0,Fri,AL,27.0,NL,26.0,N,MIL06,Milwaukee Brewers,51.0,2023-04-28 18:00:00,17,1,1,Los Angeles Angels,NL,AL,26.0,27.0,1.71,1.4220833333333331,20.246117784939948,71.0,2023-04-28,-129.0,575.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Oakland Athletics,3.48,2.88,5.75,2.92,2.94,5.8,5.25,5.75,6.25,5.75,6.25,6.25,5.8,5.5,6.25,6.25,6.3,6.3,6.0,3.65,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8c62e6ed899e5eb2d9895a483edacd78,2023-04-28 19:20:00,Oakland Athletics,Cincinnati Reds,0,Fri,NL,27.0,AL,27.0,N,OAK01,Cincinnati Reds,39.0,2023-04-28 19:20:00,18,0,1,Cincinnati Reds,AL,NL,27.0,27.0,6.25,5.344090909090909,16.951603300161622,-100.0,2023-04-28,-129.0,475.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Los Angeles Angels,2.7,2.35,2.7,2.48,3.07,2.45,2.8,2.8,2.7,2.45,2.8,2.75,2.88,2.88,2.2,2.25,2.17,2.7,2.35,2.4,2.45,2.41,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688745f6c5edeebf7fadda95570fe342,2023-04-28 18:10:00,Milwaukee Brewers,Los Angeles Angels,0,Fri,AL,27.0,NL,26.0,N,MIL06,Milwaukee Brewers,61.0,2023-04-28 18:10:00,17,0,0,Milwaukee Brewers,AL,NL,27.0,26.0,2.88,2.589166666666668,11.232700354039231,-100.0,2023-04-28,-129.0,375.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Detroit Tigers,4.1,4.2,3.6,3.3,4.05,4.5,4.5,4.3,3.8,3.7,4.8,4.75,4.8,4.8,4.8,4.8,4.8,4.8,4.33,4.09,1.01,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5d3dfefdc038a5eed62e47ff018db03e,2023-04-30 12:45:00,Detroit Tigers,Baltimore Orioles,0,Sun,AL,28.0,AL,28.0,D,DET05,Baltimore Orioles,125.0,2023-04-30 12:45:00,10,0,1,Baltimore Orioles,AL,AL,28.0,28.0,4.8,4.192608695652173,14.487192782329174,-100.0,2023-04-30,-5.0,275.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,"['Draftkings', 'Fanduel']"
Oakland Athletics,3.55,3.5,3.3,2.15,2.16,2.2,3.2,2.35,2.08,3.4,3.6,3.85,3.5,3.65,3.95,3.35,3.9,3.6,3.58,2.08,1.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793fd4271c4b703b7384c05e399f62f7,2023-04-30 15:00:00,Oakland Athletics,Cincinnati Reds,0,Sun,NL,29.0,AL,29.0,D,OAK01,Oakland Athletics,113.0,2023-04-30 15:00:00,13,1,1,Cincinnati Reds,AL,NL,29.0,29.0,3.95,3.066521739130435,28.81043527576917,295.0,2023-04-30,-5.0,570.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
New York Yankees,6.2,5.6,4.75,2.25,5.5,5.9,6.0,5.15,6.0,6.25,5.8,6.25,5.6,6.25,6.5,6.25,5.75,1.83,5.43,5.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e3b33f68d5eef4c2feb8939046c5c5c3,2023-04-30 12:00:00,Texas Rangers,New York Yankees,0,Sun,AL,29.0,AL,28.0,D,ARL03,Texas Rangers,25.0,2023-04-30 12:00:00,11,0,0,Texas Rangers,AL,AL,29.0,28.0,6.5,5.461818181818182,19.007989347536626,-100.0,2023-04-30,-5.0,470.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Chicago Cubs,2.35,2.35,2.48,0.0,2.35,0.0,0.0,0.0,0.0,2.25,2.23,2.41,0.0,2.2,2.56,2.3,0.0,0.0,0.0,0.0,0.0,2.17,2.15,2.17,0.0,2.5,2.46,2.5,0.0,2.2,0.0,2.23,0.0,2.23,2.2,2.23,0.0,0.0,0.0,c949d3c4f30433076bafdf69c1e51d5d,2023-04-30 10:30:00,Miami Marlins,Chicago Cubs,0,Sun,NL,28.0,NL,29.0,N,MIA02,Miami Marlins,85.0,2023-04-30 10:30:00,9,0,0,Miami Marlins,NL,NL,28.0,29.0,2.56,2.321818181818182,10.258418167580269,-100.0,2023-04-30,-5.0,370.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Cleveland Guardians,5.0,2.05,4.4,4.47,4.7,4.5,4.5,4.85,5.0,4.6,5.0,4.9,4.6,4.9,5.0,4.7,4.9,3.8,3.8,4.1,3.64,3.75,4.4,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827e29e5383a1bb5fb65dd0f8fd03ee,2023-05-01 16:55:00,New York Yankees,Cleveland Guardians,0,Mon,AL,29.0,AL,30.0,N,NYC21,Cleveland Guardians,50.0,2023-05-01 16:55:00,16,1,0,New York Yankees,AL,AL,29.0,30.0,5.0,4.4084,13.419834860720442,400.0,2023-05-01,300.0,770.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
Cincinnati Reds,5.0,3.75,4.05,1.95,4.3,3.5,3.7,3.7,4.5,4.8,4.8,3.55,4.8,4.8,4.5,3.7,2.13,3.7,3.0,4.1,3.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,054cba470868730c4d12aa2b9c353eb1,2023-05-01 19:50:00,San Diego Padres,Cincinnati Reds,0,Mon,NL,30.0,NL,30.0,N,SAN02,San Diego Padres,70.0,2023-05-01 19:50:00,18,0,0,San Diego Padres,NL,NL,30.0,30.0,4.8,3.957826086956521,21.27869932989128,-100.0,2023-05-01,300.0,670.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Draftkings']
Baltimore Orioles,3.65,3.75,3.65,1.56,4.0,4.0,3.75,3.3,1.95,3.6,1.02,3.13,3.8,3.65,3.8,3.6,3.8,3.8,3.65,3.8,3.64,4.1,3.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b59164cd603cd0ce562035c786185212,2023-05-02 17:10:00,Kansas City Royals,Baltimore Orioles,0,Tue,AL,29.0,AL,30.0,N,KAN06,Baltimore Orioles,30.0,2023-05-02 17:10:00,16,1,0,Kansas City Royals,AL,AL,29.0,30.0,3.8,3.443999999999999,10.336817653890847,280.0,2023-05-02,180.0,950.0,284.0,2.21875,0.3125,550.0,-556.0,128.0,2.2,['Fanduel']
